"42-coin","42-coin","42"
"sixeleven","sixeleven","611"
"808coin","808coin","808"
"octocoin","octocoin","888"
"elite","elite","1337"
"money","money","$$$"
"paccoin","paccoin","$pac"
"2give","2give","2give"
"8bit","8bit","8bit"
"abjcoin","abjcoin","abj"
"artbyte","artbyte","aby"
"asiacoin","asiacoin","ac"
"acchain","acchain","acc"
"aces","aces","aces"
"avoncoin","avoncoin","acn"
"acoin","acoin","acoin"
"anarchistsprime","anarchistsprime","acp"
"achain","achain","act"
"cardano","cardano","ada"
"audiocoin","audiocoin","adc"
"asiadigicoin","asiadigicoin","adcn"
"aidos kuneen","aidos kuneen","adk"
"adzcoin","adzcoin","adz"
"aeon","aeon","aeon"
"aerium","aerium","aerm"
"advanced inte...","advanced inte...","aib"
"akuya coin","akuya coin","aky"
"allion","allion","all"
"alqo","alqo","alqo"
"sono","sono","altcom"
"ambercoin","ambercoin","amber"
"ammo reloaded","ammo reloaded","ammo"
"amsterdamcoin","amsterdamcoin","ams"
"anoncoin","anoncoin","anc"
"animecoin","animecoin","ani"
"antimatter","antimatter","antx"
"alpacoin","alpacoin","apc"
"arbit","arbit","arb"
"arcticcoin","arcticcoin","arc"
"aquariuscoin","aquariuscoin","arco"
"ardor","ardor","ardr"
"argentum","argentum","arg"
"argus","argus","argus"
"aricoin","aricoin","ari"
"ark","ark","ark"
"allsafe","allsafe","asafe2"
"aseancoin","aseancoin","asn"
"atbcoin","atbcoin","atb"
"atmcoin","atmcoin","atmc"
"atmos","atmos","atms"
"atomic coin","atomic coin","atom"
"artex coin","artex coin","atx"
"aurumcoin","aurumcoin","au"
"auroracoin","auroracoin","aur"
"avatarcoin","avatarcoin","av"
"axiom","axiom","axiom"
"segwit2x","segwit2x","b2x"
"luckchain","luckchain","bash"
"batcoin","batcoin","bat"
"bitbay","bitbay","bay"
"biblepay","biblepay","bbp"
"boolberry","boolberry","bbr"
"bitcoin atom","bitcoin atom","bca"
"bitconnect","bitconnect","bcc"
"bitcoin diamond","bitcoin diamond","bcd"
"bitcoin fast","bitcoin fast","bcf"
"bitcoin cash","bitcoin cash","bch"
"bytecoin","bytecoin","bcn"
"bridgecoin","bridgecoin","bco"
"bitcoinx","bitcoinx","bcx"
"bitdeal","bitdeal","bdl"
"bela","bela","bela"
"benjirolls","benjirolls","benji"
"berncash","berncash","bern"
"bestchain","bestchain","best"
"betacoin","betacoin","bet"
"bigup","bigup","bigup"
"biocoin","biocoin","bio"
"biobar","biobar","biob"
"bioscrypto","bioscrypto","bios"
"bipcoin","bipcoin","bip"
"birds","birds","birds"
"bismuth","bismuth","bis"
"first bitcoin","first bitcoin","bit"
"bean cash","bean cash","bitb"
"bitcoin green","bitcoin green","bitg"
"bitok","bitok","bitok"
"bitstar","bitstar","bits"
"bitz","bitz","bitz"
"blazercoin","blazercoin","blazr"
"blakecoin","blakecoin","blc"
"blitzcash","blitzcash","blitz"
"blackcoin","blackcoin","blk"
"blocknet","blocknet","block"
"billarycoin","billarycoin","blry"
"bluecoin","bluecoin","blu"
"blazecoin","blazecoin","blz"
"bnrtxcoin","bnrtxcoin","bnx"
"boat","boat","boat"
"bolivarcoin","bolivarcoin","boli"
"boscoin","boscoin","bos"
"boostcoin","boostcoin","bost"
"blockpool","blockpool","bpl"
"briacoin","briacoin","bria"
"britcoin","britcoin","brit"
"breakout","breakout","brk"
"bitradio","bitradio","bro"
"breakout stake","breakout stake","brx"
"bowscoin","bowscoin","bsc"
"bitsend","bitsend","bsd"
"bastonet","bastonet","bsn"
"bitsoar","bitsoar","bsr"
"blackstar","blackstar","bstar"
"globalboost-y","globalboost-y","bsty"
"bata","bata","bta"
"bitbar","bitbar","btb"
"bitbase","bitbase","btbc"
"bitcoin","bitcoin","btc"
"bitcoindark","bitcoindark","btcd"
"bitcoin private","bitcoin private","btcp"
"bitcurrency","bitcurrency","btcr"
"bitcoin scrypt","bitcoin scrypt","btcs"
"bitcoinz","bitcoinz","btcz"
"bitcloud","bitcloud","btdx"
"bitgem","bitgem","btg"
"bitmark","bitmark","btm"
"bitcoin planet","bitcoin planet","btpl"
"bitquark","bitquark","btq"
"bitshares","bitshares","bts"
"bitwhite","bitwhite","btw"
"bitcore","bitcore","btx"
"bubble","bubble","bub"
"swagbucks","swagbucks","bucks"
"bumbacoin","bumbacoin","bumba"
"bunnycoin","bunnycoin","bun"
"burst","burst","burst"
"buzzcoin","buzzcoin","buzz"
"bulwark","bulwark","bwk"
"bitcedi","bitcedi","bxc"
"bittokens","bittokens","bxt"
"bytecent","bytecent","byc"
"coin2.1","coin2.1","c2"
"cabbage","cabbage","cab"
"cachecoin","cachecoin","cach"
"caliphcoin","caliphcoin","calc"
"cannabiscoin","cannabiscoin","cann"
"carboncoin","carboncoin","carbon"
"cashcoin","cashcoin","cash"
"catcoin","catcoin","cat"
"bullion","bullion","cbx"
"cybercoin","cybercoin","cc"
"cannacoin","cannacoin","ccn"
"cryptocarbon","cryptocarbon","ccrb"
"canada ecoin","canada ecoin","cdn"
"cryptoescudo","cryptoescudo","cesc"
"californium","californium","cf"
"coffeecoin","coffeecoin","cfc"
"chancoin","chancoin","chan"
"chatcoin","chatcoin","chat"
"chaincoin","chaincoin","chc"
"cheapcoin","cheapcoin","cheap"
"chesscoin","chesscoin","chess"
"chips","chips","chips"
"cryptojacks","cryptojacks","cj"
"clams","clams","clam"
"cloakcoin","cloakcoin","cloak"
"clubcoin","clubcoin","club"
"cashme","cashme","cme"
"compcoin","compcoin","cmp"
"campuscoin","campuscoin","cmpco"
"comet","comet","cmt"
"cannation","cannation","cnnc"
"centurion","centurion","cnt"
"cryptonex","cryptonex","cnx"
"bitcoal","bitcoal","coal"
"colossusxt","colossusxt","colx"
"paycon","paycon","con"
"concoin","concoin","conx"
"coupecoin","coupecoin","coupe"
"capricoin","capricoin","cpc"
"compucoin","compucoin","cpn"
"crave","crave","crave"
"crowdcoin","crowdcoin","crc"
"credence coin","credence coin","crdnc"
"creativecoin","creativecoin","crea"
"crevacoin","crevacoin","creva"
"cream","cream","crm"
"crtcoin","crtcoin","crt"
"crown","crown","crw"
"chronos","chronos","crx"
"cryptcoin","cryptcoin","crypt"
"casinocoin","casinocoin","csc"
"coimatic 2.0","coimatic 2.0","ctic2"
"crypto","crypto","cto"
"digicube","digicube","cube"
"curecoin","curecoin","cure"
"cryptoworldx ...","cryptoworldx ...","cwxt"
"coinonat","coinonat","cxt"
"cycling coin","cycling coin","cyc"
"cyder","cyder","cyder"
"cypher","cypher","cyp"
"dash","dash","dash"
"dashs","dashs","dashs"
"davorcoin","davorcoin","dav"
"daxxcoin","daxxcoin","daxx"
"digital bulli...","digital bulli...","dbg"
"dubaicoin","dubaicoin","dbix"
